episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
402,48.0,0.05,95.0,32.34,2.0,0.12
403,68.0,0.02,98.0,31.95,2.0,0.13
404,80.0,0.01,99.0,17.84,2.0,0.12
405,22.0,0.29,71.0,46.46,1.0,0.12
406,100.0,0.0,100.0,34.51,8.0,0.12
407,50.0,0.01,99.0,52.43,2.0,0.12
408,100.0,0.0,100.0,18.12,8.0,0.12
409,10.0,0.37,63.0,27.93,1.0,0.11
410,78.0,0.0,100.0,39.95,4.0,0.12
411,72.0,0.01,99.0,17.52,2.0,0.13
412,100.0,0.0,100.0,23.07,16.0,0.12
413,100.0,0.0,100.0,19.11,4.0,0.12
414,76.0,0.01,99.0,19.22,2.0,0.12
415,100.0,0.0,100.0,46.53,16.0,0.12
416,100.0,0.0,100.0,24.49,8.0,0.12
417,-2.0,0.4,60.0,71.86,1.0,0.11
418,82.0,0.01,99.0,34.65,2.0,0.12
419,24.0,0.32,68.0,41.79,1.0,0.11
420,86.0,0.01,99.0,22.56,2.0,0.13
421,100.0,0.0,100.0,9.65,8.0,0.12
422,18.0,0.31,69.0,44.33,1.0,0.11
423,2.0,0.37,63.0,73.93,1.0,0.11
424,20.0,0.32,68.0,46.32,1.0,0.12
425,100.0,0.0,100.0,31.8,4.0,0.12
426,74.0,0.03,97.0,25.55,2.0,0.13
427,64.0,0.03,97.0,19.28,2.0,0.12
428,100.0,0.0,100.0,34.06,8.0,0.14
429,100.0,0.0,100.0,15.24,4.0,0.12
430,64.0,0.04,96.0,17.07,2.0,0.12
431,62.0,0.07,93.0,36.93,2.0,0.12
432,100.0,0.0,100.0,2.88,8.0,0.12
433,2.0,0.34,66.0,58.51,1.0,0.11
434,100.0,0.0,100.0,19.91,8.0,0.12
435,100.0,0.0,100.0,17.74,16.0,0.12
436,18.0,0.31,69.0,35.03,1.0,0.11
437,100.0,0.0,100.0,27.69,8.0,0.13
438,100.0,0.0,100.0,7.89,8.0,0.12
439,78.0,0.03,97.0,19.39,2.0,0.13
440,100.0,0.0,100.0,17.97,16.0,0.12
441,82.0,0.01,99.0,36.02,2.0,0.12
442,100.0,0.0,100.0,48.55,8.0,0.12
443,100.0,0.0,100.0,6.85,16.0,0.13
444,80.0,0.0,100.0,24.36,4.0,0.12
445,100.0,0.0,100.0,16.77,8.0,0.12
446,100.0,0.0,100.0,18.79,8.0,0.12
447,100.0,0.0,100.0,34.22,16.0,0.12
448,100.0,0.0,100.0,16.72,16.0,0.12
449,100.0,0.0,100.0,23.0,8.0,0.12
450,78.0,0.0,100.0,60.92,2.0,0.12
451,24.0,0.28,72.0,25.04,1.0,0.12
452,100.0,0.0,100.0,25.66,16.0,0.12
453,100.0,0.0,100.0,29.43,16.0,0.12
454,10.0,0.35,65.0,44.66,1.0,0.11
455,86.0,0.0,100.0,28.15,4.0,0.12
456,50.0,0.05,95.0,58.11,2.0,0.12
457,100.0,0.0,100.0,23.34,16.0,0.12
458,100.0,0.0,100.0,12.79,16.0,0.12
459,12.0,0.28,72.0,12.01,1.0,0.11
460,26.0,0.28,72.0,28.1,1.0,0.11
461,76.0,0.0,100.0,11.44,4.0,0.12
462,6.0,0.39,61.0,52.6,1.0,0.1
463,-12.0,0.46,54.0,44.25,1.0,0.11
464,100.0,0.0,100.0,24.26,8.0,0.12
465,64.0,0.04,96.0,53.76,2.0,0.12
466,100.0,0.0,100.0,30.0,16.0,0.12
467,14.0,0.31,69.0,39.01,1.0,0.12
468,8.0,0.32,68.0,36.37,1.0,0.11
469,78.0,0.0,100.0,32.64,4.0,0.12
470,100.0,0.0,100.0,40.36,16.0,0.12
471,100.0,0.0,100.0,30.23,8.0,0.12
472,62.0,0.05,95.0,12.82,2.0,0.13
473,0.0,0.37,63.0,43.94,1.0,0.11
474,100.0,0.0,100.0,23.65,8.0,0.13
475,100.0,0.0,100.0,54.64,8.0,0.12
476,54.0,0.03,97.0,40.06,2.0,0.13
477,8.0,0.35,65.0,27.61,1.0,0.12
478,-2.0,0.36,64.0,43.56,1.0,0.11
479,100.0,0.0,100.0,60.18,15.85,0.13
480,90.0,0.0,100.0,5.96,4.0,0.14
481,100.0,0.0,100.0,59.78,4.04,0.13
482,100.0,0.0,100.0,39.66,8.0,0.13
483,100.0,0.0,100.0,43.87,8.0,0.13
484,82.0,0.0,100.0,28.61,2.0,0.12
485,0.0,0.36,64.0,58.42,1.0,0.11
486,100.0,0.0,100.0,29.85,8.0,0.12
487,62.0,0.03,97.0,29.3,2.0,0.13
488,82.0,0.01,99.0,36.28,4.0,0.12
489,60.0,0.06,94.0,30.4,2.02,0.12
490,100.0,0.0,100.0,32.3,4.0,0.12
491,14.0,0.32,68.0,30.74,1.0,0.11
492,86.0,0.0,100.0,30.88,3.98,0.13
493,58.0,0.01,99.0,41.02,2.0,0.12
494,100.0,0.0,100.0,20.43,8.0,0.12
495,100.0,0.0,100.0,32.58,16.0,0.13
496,18.0,0.28,72.0,26.67,1.0,0.11
497,14.0,0.35,65.0,42.25,1.0,0.12
498,78.0,0.0,100.0,30.35,2.0,0.12
499,90.0,0.0,100.0,15.37,4.0,0.12
500,100.0,0.0,100.0,39.9,16.0,0.12
501,8.0,0.34,66.0,27.78,1.0,0.11
502,78.0,0.0,100.0,26.78,4.0,0.12
503,100.0,0.0,100.0,23.61,16.0,0.12
504,2.0,0.37,63.0,49.66,1.0,0.11
505,8.0,0.32,68.0,27.47,1.01,0.11
506,68.0,0.01,99.0,23.87,2.0,0.12
507,14.0,0.28,72.0,37.43,1.0,0.11
508,100.0,0.0,100.0,36.84,8.0,0.12
509,70.0,0.02,98.0,16.3,2.0,0.12
510,2.0,0.37,63.0,86.98,1.0,0.11
511,100.0,0.0,100.0,48.55,8.0,0.12
512,100.0,0.0,100.0,40.73,8.0,0.12
513,100.0,0.0,100.0,26.1,8.0,0.12
514,78.0,0.01,99.0,19.24,2.0,0.12
515,100.0,0.0,100.0,16.2,8.0,0.12
516,100.0,0.0,100.0,24.5,4.0,0.12
517,52.0,0.03,97.0,32.96,2.0,0.12
518,86.0,0.01,99.0,58.32,2.14,0.12
519,100.0,0.0,100.0,10.33,7.94,0.12
520,70.0,0.06,94.0,33.12,2.15,0.12
521,100.0,0.0,100.0,15.25,16.0,0.12
522,100.0,0.0,100.0,12.89,16.0,0.13
523,78.0,0.0,100.0,28.25,4.0,0.12
524,100.0,0.0,100.0,29.45,7.93,0.12
525,100.0,0.0,100.0,26.08,4.0,0.12
526,100.0,0.0,100.0,3.21,16.0,0.12
527,-2.0,0.42,58.0,31.09,1.02,0.11
528,100.0,0.0,100.0,44.33,16.0,0.13
