episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
273,58,100,48.396042,1,2,58,0.17,83,90.37,7.89,0.22
274,50,100,48.582874,1,1,50,0.21,79,81.12,10.05,0.22
275,80,100,48.787796,1,2,80,0.07,93,56.51,5.37,0.17
276,64,100,48.984809,1,3,64,0.15,85,71.07,5.53,0.19
277,58,100,49.197442,1,4,58,0.17,83,101.31,7.93,0.18
278,50,100,49.402679,1,1,50,0.19,81,43.69,4.36,0.2
279,68,100,49.592689,1,4,68,0.15,85,96.44,6.16,0.19
280,84,100,49.795328,1,4,84,0.08,92,80.07,11.45,0.18
281,56,100,49.994444,1,0,56,0.18,82,54.75,8.84,0.19
282,24,100,50.189023,1,2,24,0.26,74,95.06,6.12,0.18
283,64,100,50.390765,-1,3,64,0.1,90,78.89,8.12,0.18
284,66,100,50.592597,1,1,66,0.14,86,79.88,9.16,0.19
285,60,100,50.810438,1,0,60,0.12,88,83.68,7.64,0.19
286,68,100,51.016202,-1,5,68,0.13,87,101.01,6.3,0.2
287,50,100,51.206305,1,0,50,0.25,75,89.94,9.88,0.19
288,64,100,51.413051,1,0,64,0.11,89,30.99,6.4,0.18
289,64,100,51.609812,1,3,64,0.11,89,92.96,4.89,0.19
290,44,100,51.809915,1,2,44,0.16,84,68.33,4.56,0.18
291,66,100,52.014479,1,0,66,0.13,87,63.21,4.23,0.19
292,38,100,52.215634,1,0,38,0.11,89,70.11,2.45,0.19
293,62,100,52.410058,1,3,62,0.17,83,48.42,9.69,0.19
294,68,100,52.600388,1,3,68,0.12,88,53.22,10.18,0.18
295,70,100,52.790405,1,4,70,0.14,86,71.07,8.75,0.18
296,50,100,52.988057,1,2,50,0.14,86,29.58,4.64,0.18
297,56,100,53.185953,-1,0,56,0.13,87,114.02,7.68,0.18
298,76,100,53.381212,1,2,76,0.11,89,64.7,5.57,0.18
299,68,100,53.581444,1,3,68,0.14,86,83.55,10.1,0.18
300,50,100,53.784076,1,0,50,0.18,82,80.57,4.2,0.18
301,64,100,53.985261,1,2,64,0.16,84,69.35,5.29,0.19
302,72,100,54.180598,1,2,72,0.11,89,49.69,6.61,0.19
303,60,100,54.383873,1,2,60,0.16,84,96.39,4.15,0.18
304,42,100,54.577567,-1,5,42,0.15,85,103.7,2.85,0.19
305,72,100,54.769943,1,3,72,0.09,91,43.11,13.54,0.18
306,56,100,54.964681,1,3,56,0.19,81,77.46,5.79,0.18
307,32,100,55.173628,-1,5,32,0.16,84,75.87,1.51,0.18
308,74,100,55.36139,1,0,74,0.12,88,81.62,8.8,0.2
309,54,100,55.597804,-1,4,54,0.16,84,95.38,8.2,0.17
310,58,100,55.785536,1,4,58,0.21,79,80.54,12.15,0.22
311,58,100,56.000957,-1,5,58,0.21,79,51.95,11.3,0.17
312,70,100,56.198268,1,3,70,0.13,87,69.94,10.02,0.2
313,72,100,56.400575,1,1,72,0.13,87,41.61,13.1,0.18
314,64,100,56.59861,1,3,64,0.12,88,31.57,4.04,0.19
315,82,100,56.800044,1,2,82,0.07,93,58.9,7.79,0.19
316,14,100,57.024564,-1,1,14,0.26,74,75.83,1,0.19
