episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
123,84.0,0.0,100.0,45.36,9.61
123,78.0,0.04,96.0,59.35,9.61
123,86.0,0.05,95.0,44.65,9.61
123,76.0,0.01,99.0,64.13,9.61
123,94.0,0.01,99.0,47.2,9.61

123,72.0,0.01,99.0,72.99,9.61
124,94.0,0.01,99.0,28.75,0.26
124,88.0,0.0,100.0,50.18,0.26
124,92.0,0.0,100.0,33.37,0.26
124,64.0,0.02,98.0,90.44,0.26
124,88.0,0.01,99.0,68.79,0.26
124,94.0,0.02,98.0,31.05,0.26
124,84.0,0.01,99.0,46.71,0.26
125,84.0,0.01,99.0,59.53,0.27
125,84.0,0.01,99.0,52.86,0.28
125,82.0,0.0,100.0,67.75,0.28
125,84.0,0.03,97.0,45.26,0.28
125,84.0,0.02,98.0,48.54,0.28
126,84.0,0.01,99.0,57.91,0.28
126,96.0,0.02,98.0,34.3,0.28
126,62.0,0.01,99.0,80.11,0.28
126,82.0,0.01,99.0,54.62,0.28
126,76.0,0.05,95.0,42.9,0.28
127,92.0,0.02,98.0,45.82,0.27
127,94.0,0.0,100.0,25.82,0.27
127,80.0,0.03,97.0,53.38,0.27
128,78.0,0.0,100.0,66.42,0.27
129,92.0,0.03,97.0,40.02,0.27
129,76.0,0.03,97.0,72.27,0.27

130,92.0,0.0,100.0,41.11,0.27
130,62.0,0.02,98.0,104.18,0.27
130,84.0,0.0,100.0,62.47,0.27
130,90.0,0.01,99.0,56.76,0.27
130,92.0,0.01,99.0,52.89,0.27
130,74.0,0.02,98.0,76.95,0.27
131,74.0,0.03,97.0,63.64,0.29
131,78.0,0.02,98.0,50.73,0.29
131,80.0,0.01,99.0,53.03,0.29
131,88.0,0.01,99.0,43.02,0.29
131,66.0,0.04,96.0,71.75,0.29
132,88.0,0.01,99.0,49.12,0.26
132,64.0,0.01,99.0,82.76,0.26
132,74.0,0.01,99.0,75.77,0.26
133,44.0,0.01,99.0,121.7,0.28
133,88.0,0.0,100.0,56.77,0.28
133,86.0,0.02,98.0,53.54,0.28
133,70.0,0.04,96.0,60.47,0.28
133,86.0,0.02,98.0,56.34,0.28
134,96.0,0.01,99.0,27.74,0.3
134,98.0,0.0,100.0,45.47,0.3
134,80.0,0.01,99.0,45.34,0.3
134,74.0,0.0,100.0,79.08,0.3
134,66.0,0.01,99.0,67.26,0.3
134,94.0,0.01,99.0,24.75,0.3
135,78.0,0.03,97.0,61.3,0.29

135,86.0,0.02,98.0,34.15,0.29
136,96.0,0.0,100.0,27.1,0.26

136,72.0,0.0,100.0,65.69,0.26
136,92.0,0.02,98.0,24.77,0.26
136,82.0,0.01,99.0,51.92,0.26
136,88.0,0.03,97.0,52.7,0.26
137,86.0,0.02,98.0,42.1,0.26

138,90.0,0.02,98.0,34.08,0.26
138,86.0,0.02,98.0,44.21,0.26
139,80.0,0.04,96.0,53.9,0.28
139,88.0,0.03,97.0,26.42,0.28
139,96.0,0.01,99.0,44.81,0.28
139,98.0,0.01,99.0,32.06,0.28
139,82.0,0.01,99.0,59.48,0.28
140,100.0,0.0,100.0,24.58,0.28
40,76.0,0.03,97.0,53.66,0.28
141,80.0,0.01,99.0,56.68,0.26
1141,70.0,0.02,98.0,74.52,0.26
141,82.0,0.01,99.0,52.34,0.26
141,78.0,0.01,99.0,56.74,0.26
141,92.0,0.01,99.0,36.0,0.26
142,84.0,0.01,99.0,62.57,0.26
142,72.0,0.02,98.0,66.41,0.26
142,86.0,0.01,99.0,38.85,0.26
142,80.0,0.02,98.0,63.33,0.26
142,84.0,0.02,98.0,48.11,0.26
143,94.0,0.0,100.0,31.27,0.26
143,90.0,0.01,99.0,43.02,0.26
143,64.0,0.03,97.0,76.79,0.26
144,84.0,0.01,99.0,46.28,9.56
144,88.0,0.01,99.0,34.72,9.56
