episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
257,1035,100,39.648536,15,0,1035,0.21,79,83.99,2.63,0.17
258,693.78,100,39.842838,15,1,693.78,0.13,87,62.56,7.88,0.17
259,715.2901,100,40.034452,14,2,715.29,0.08,92,86.11,8.14,0.18
260,590.35004,100,40.220598,8,0,590.35,0.11,89,64.96,9.24,0.18
261,344,100,40.41172,0,0,344,0.16,84,35.36,11.71,0.17
262,874.93,100,40.598386,3.5,4,874.93,0.19,81,44.43,4.96,0.18
263,798.64,100,40.788371,14,0,798.64,0.09,91,91.43,7.12,0.17
264,581,100,40.973785,0,4,581,0.11,89,67.43,9.35,0.18
265,1025,100,41.165352,-1,5,1025,0.12,88,47.02,4.22,0.17
266,950.86,100,41.359014,8,2,950.86,0.12,88,51.63,5.06,0.18
267,885.76996,100,41.542185,15,3,885.77,0.18,82,81.03,4.98,0.18
268,456,100,41.72874,8,0,456,0.08,92,119.49,10.96,0.17
269,591.80005,100,41.916985,-1,5,591.8,0.19,81,66.6,8.46,0.17
270,769.0299,100,42.100722,8,0,769.03,0.16,84,58.52,6.65,0.17
271,824,100,42.282321,14,3,824,0.18,82,79.18,5.73,0.17
272,1129.99,100,42.480418,-1,5,1129.99,0.18,82,85.4,2,0.17
273,559,100,42.665418,12,2,559,0.17,83,67.74,9.06,0.18
274,1142,100,42.845948,14,2,1142,0.15,85,83.89,2.39,0.17
275,811.97,100,43.033969,15,2,811.97,0.19,81,92.47,5.74,0.17
276,886.14,100,43.218554,8,4,886.14,0.16,84,115.15,5.26,0.17
277,766.39996,100,43.412396,1.33,4,766.4,0.18,82,94.69,6.43,0.17
278,703.23,100,43.602473,15,0,703.23,0.19,81,70.85,7.08,0.18
279,742.6699,100,43.783829,-1,5,742.67,0.19,81,82.36,6.6,0.18
280,182.42,100,43.975113,0,2,182.42,0.19,81,131.23,13.51,0.17
281,549.87,100,44.165225,8,1,549.87,0.16,84,109.25,9.26,0.18
282,710.62,100,44.345451,12,2,710.62,0.17,83,56.19,7.23,0.18
283,815.03,100,44.547643,12,0,815.03,0.09,91,65,6.94,0.17
284,849,100,44.72996,12,2,849,0.15,85,80.56,5.84,0.19
285,553.14,100,44.92413,14,0,553.14,0.12,88,96.11,9.58,0.17
286,787.17004,100,45.114524,-1,5,787.17,0.18,82,60.26,6.18,0.18
287,1072.22,100,45.308947,12,2,1072.22,0.09,91,109.81,4.12,0.17
288,1161.15,100,45.505235,15,0,1161.15,0.16,84,111.76,1.99,0.18
289,882.64996,100,45.696156,15,0,882.65,0.2,80,137.44,4.72,0.18
290,1103.87,100,45.884736,14,1,1103.87,0.18,82,51.01,2.32,0.18
291,854.01,100,46.078898,14,2,854.01,0.13,87,94.53,6.03,0.17
292,1023.79004,100,46.273926,15,1,1023.79,0.14,86,40.94,3.93,0.18
293,773.55,100,46.463396,-1,5,773.55,0.16,84,64.96,6.6,0.18
294,832.23,100,46.656377,12,1,832.23,0.11,89,33.99,6.53,0.17
295,1022.89,100,46.850609,-1,4,1022.89,0.17,83,62.67,3.47,0.18
296,1088.8301,100,47.039484,-1,5,1088.83,0.16,84,69.51,2.85,0.17
297,1021.45,100,47.238528,14,0,1021.45,0.12,88,79.2,4.26,0.17
298,1010.7601,100,47.433688,-1,5,1010.76,0.17,83,61.51,3.62,0.18
299,1076.21,100,47.636102,14,2,1076.21,0.11,89,64.02,3.78,0.18
300,934.45,100,47.821134,15,3,934.45,0.17,83,124.54,4.54,0.19
301,1055,100,48.011334,14,1,1055,0.11,89,67.34,4.02,0.17
302,753.08,100,48.207426,15,2,753.08,0.07,93,52.09,7.83,0.18
303,746.89,100,48.400917,0,2,746.89,0.18,82,35.4,6.67,0.18
304,979.37,100,48.600465,12,1,979.37,0.13,87,102.03,4.59,0.18
305,900,100,48.791,12,3,900,0.12,88,90.51,5.64,0.18
306,1034,100,48.976101,8,2,1034,0.11,89,52.32,4.26,0.18
307,841.17,100,49.18117,8,0,841.17,0.12,88,84.01,6.3,0.17
308,796.14996,100,49.371175,-1,5,796.15,0.19,81,89,5.94,0.19
309,352,100,49.563397,0,2,352,0.2,80,104.36,11.35,0.18
310,908.86,100,49.743515,-1,5,908.86,0.25,75,96.55,3.55,0.18
311,1009,100,49.931404,-1,5,1009,0.17,83,92.75,3.64,0.16
312,508.0901,100,50.119009,0,3,508.09,0.14,86,66.02,9.93,0.17
313,645.80994,100,50.315929,8,1,645.81,0.1,90,94.4,8.71,0.17
314,618.0901,100,50.509754,1.14,4,618.09,0.12,88,70.71,8.84,0.18
315,995.98004,100,50.720305,15,3,995.98,0.16,84,52.36,3.95,0.18
316,615.68,100,50.908242,0,3,615.68,0.13,87,73.36,8.77,0.2
317,888,100,51.090841,12,1,888,0.24,76,89.02,4,0.18
318,398.28003,100,51.28941,0,1,398.28,0.11,89,39.83,11.4,0.17
319,775.38,100,51.480675,-1,5,775.38,0.12,88,43.46,7.05,0.18
320,641.7701,100,51.67635,-1,5,641.77,0.12,88,46.83,8.57,0.18
321,809.51,100,51.868368,14,0,809.51,0.06,94,92.48,7.32,0.18
322,890,100,52.070798,8,2,890,0.08,92,55.35,6.24,0.18
323,1228.14,100,52.259523,14,3,1228.14,0.12,88,49.62,1.91,0.19
324,651.81006,100,52.453671,14,0,651.81,0.11,89,54.35,8.55,0.17
325,1126.3099,100,52.6533,12,2,1126.31,0.1,90,79.94,3.37,0.18
326,986.72003,100,52.842259,14,0,986.72,0.14,86,95.64,4.36,0.19
327,1093.01,100,53.032,14,3,1093.01,0.16,84,36.99,2.8,0.17
328,679.91003,100,53.222759,12,0,679.91,0.17,83,56.05,7.6,0.17
329,923.36,100,53.42379,-1,5,923.36,0.12,88,67.68,5.37,0.18
330,1069.6199,100,53.615294,15,3,1069.62,0.14,86,75.12,3.4,0.19
331,1077.38,100,53.827255,15,3,1077.38,0.08,92,48.82,4.2,0.18
332,655.74,100,54.02885,-1,4,655.74,0.12,88,82.92,8.41,0.19
333,745,100,54.234968,14,1,745,0.11,89,102.01,7.51,0.19
334,784.22003,100,54.449144,2.4,4,784.22,0.08,92,54.78,7.39,0.19
335,1140.4,100,54.652594,12,1,1140.4,0.13,87,78.43,2.74,0.2
336,797.2001,100,54.869753,-1,5,797.2,0.2,80,72.39,5.78,0.19
337,412,100,55.074638,0,4,412,0.2,80,58.25,10.6,0.2
338,1186.15,100,55.332295,15,1,1186.15,0.14,86,77.49,2.04,0.19
339,1127.86,100,55.576097,12,1,1127.86,0.13,87,61.5,2.89,0.24
340,796.21,100,55.7915,1.6,4,796.21,0.13,87,56.31,6.7,0.23
341,1025.3301,100,56.001989,12,0,1025.33,0.18,82,68.72,3.28,0.2
342,772.9699,100,56.213305,14,2,772.97,0.15,85,54.36,6.73,0.19
343,603.07,100,56.404664,2,4,603.07,0.13,87,86.03,8.92,0.2
344,1202.02,100,56.648248,14,1,1202.02,0.13,87,37.38,2.03,0.18
345,724.83,100,56.868121,1.6,4,724.83,0.17,83,41.22,7.06,0.23
346,805.82,100,57.083122,12,1,805.82,0.16,84,39.86,6.22,0.2
347,1018.67004,100,57.285423,8.86,4,1018.67,0.2,80,81.02,3.02,0.2
348,959.13007,100,57.490877,8,3,959.13,0.18,82,53.37,4.08,0.19
349,892,100,57.692572,12,1,892,0.12,88,42.18,5.73,0.19
